name,age,position,Country,MarketValue,PreviousTeam,LeagueOfPreviousTeam,CountryOfPreviousTeam,Fee,YearOfTranfert,NewTeam,LeagueOfNewTeam,CountryOfNewTeam,Height,Agent,JoinedCurrentTeam,ContratExpires,Squad,Appearances,PPG,Goals,Assists,OwnGoals,SubsON,SubsOFF,YellowCards,SecondYellowCards,RedCards,PenaltyGoals,MinutesPerGoal,MinutesPlayed,PlaceOfBirth,DateOfBirth
Thierry Henry ,29,Centre-Forward,France,€45.00m,Arsenal FC,Premier League,England,€24.00m,2007,FC Barcelona,LaLiga,Spain,"1,88 m",NONE,Arsenal,"                                    Jan 1, 2015                                ",49,47,1.85,19,12,0,7,14,4,0,0,0,187',3.551',                                    Les Ulis                                ,"                                Aug 17, 1977                                                                    (45)                                                            "
Fernando Torres ,23,Centre-Forward,Spain,€30.00m,Atlético de Madrid,LaLiga,Spain,€38.00m,2007,Liverpool FC,Premier League,England,"1,86 m",NONE,Atlético Madrid,"                                    Aug 26, 2019                                ",49,46,2.04,33,5,0,5,20,6,0,0,0,108',3.576',                                    Fuenlabrada (Madrid)                                ,"                                Mar 20, 1984                                                                    (39)                                                            "
Arjen Robben ,23,Right Winger,Netherlands,€22.80m,Chelsea FC,Premier League,England,€35.00m,2007,Real Madrid,LaLiga,Spain,"1,80 m",NONE,Bayern Munich,"                                    Jul 15, 2021                                ",30,28,2.11,5,5,0,12,6,3,0,0,0,316',1.581',                                    Bedum                                ,"                                Jan 23, 1984                                                                    (39)                                                            "
Anderson ,19,Central Midfield,Brazil,€25.00m,FC Porto,Liga Portugal,Portugal,€31.50m,2007,Manchester United,Premier League,England,"1,75 m",NONE,Man Utd,"                                    Sep 20, 2019                                ",44,38,2.37,0,2,0,13,16,3,0,0,0,0,2.264',                                    Porto Alegre                                ,"                                Apr 13, 1988                                                                    (34)                                                            "
Franck Ribéry ,24,Left Winger,France,€18.00m,Olympique Marseille,Ligue 1,France,€30.00m,2007,Bayern Munich,Bundesliga,Germany,"1,70 m",NONE,Bayern Munich,"                                    Oct 21, 2022                                ",46,46,2.22,19,20,0,5,22,3,0,0,4,196',3.724',                                    Boulogne-sur-Mer                                ,"                                Apr 7, 1983                                                                    (39)                                                            "
Pepe ,24,Centre-Back,Portugal,€30.00m,FC Porto,Liga Portugal,Portugal,€30.00m,2007,Real Madrid,LaLiga,Spain,"1,87 m",Gestifute ,"Jan 8, 2019","Jun 30, 2023",28,25,2.08,0,0,1,2,1,6,2,0,0,0,2.052',                                    Maceió                                ,"                                Feb 26, 1983                                                                    (40)                                                            "
Luca Toni ,30,Centre-Forward,Italy,€28.50m,ACF Fiorentina,Serie A,Italy,€11.00m,2007,Bayern Munich,Bundesliga,Germany,N/A,NONE,"                                    Jul 1, 2016                                ","                                May 26, 1977                                                                    (45)                                                            ",46,46,2.24,39,11,0,1,12,9,1,0,0,99',3.864',                                Italy                            ,                                    Pavullo nel Frignano                                
Wesley Sneijder ,23,Attacking Midfield,Netherlands,€14.50m,Ajax Amsterdam,Eredivisie,Netherlands,€27.00m,2007,Real Madrid,LaLiga,Spain,"1,70 m",NONE,"                                    Aug 12, 2019                                ","                                Jun 9, 1984                                                                    (38)                                                            ",41,38,2.24,9,9,0,4,23,8,0,0,0,315',2.836',                                Netherlands                            ,                                    Utrecht                                
Nani ,20,Left Winger,Portugal,€25.00m,Sporting CP,Liga Portugal,Portugal,€25.50m,2007,Manchester United,Premier League,England,"1,77 m",NONE,"Jul 12, 2022","Jun 30, 2024",46,41,2.15,4,14,0,15,8,4,0,1,0,632',2.528',                                    Amadora                                ,"                                Nov 17, 1986                                                                    (36)                                                            "
Owen Hargreaves ,26,Defensive Midfield,England,€25.00m,Bayern Munich,Bundesliga,Germany,€25.00m,2007,Manchester United,Premier League,England,N/A,NONE,Bayern Munich,"                                    Jul 1, 2012                                ",36,34,2.18,2,2,0,11,8,4,0,0,0,1.106',2.211',"                                    Calgary, Alberta                                ","                                Jan 20, 1981                                                                    (42)                                                            "
Darren Bent ,23,Centre-Forward,England,€7.50m,Charlton Athletic,Championship,England,€24.75m,2007,Tottenham Hotspur,Premier League,England,"1,80 m",NONE,Ipswich,"                                    Jul 1, 2018                                ",40,36,1.42,8,5,0,21,9,0,0,0,0,207',1.658',                                    London                                ,"                                Feb 6, 1984                                                                    (39)                                                            "
Alexandre Pato ,17,Centre-Forward,Brazil,€4.00m,Sport Club Internacional,Série A,Brazil,€24.00m,2007,AC Milan,Serie A,Italy,"1,80 m",NONE,AC Milan,"                                    Jan 1, 2023                                ",21,20,1.80,9,2,0,5,6,2,0,0,0,160',1.444',                                    Pato Branco                                ,"                                Sep 2, 1989                                                                    (33)                                                            "
Miroslav Klose ,29,Centre-Forward,Germany,€23.00m,SV Werder Bremen,Bundesliga,Germany,€15.00m,2007,Bayern Munich,Bundesliga,Germany,"1,84 m",NONE,"                                    Jul 1, 2016                                ","                                Jun 9, 1978                                                                    (44)                                                            ",47,47,2.11,21,12,0,8,22,2,0,0,0,164',3.450',                                Germany                            ,                                    Opole                                
Adriano ,25,Centre-Forward,Brazil,€22.50m,FC Internazionale,Serie A,Italy,loan transfer,2007,São Paulo Futebol Clube,Série A,Brazil,"1,89 m",NONE,Inter,"                                    May 28, 2016                                ",16,14,2.00,7,0,0,1,2,2,0,0,0,163',1.141',                                    Rio de Janeiro                                ,"                                Feb 17, 1982                                                                    (41)                                                            "
Diego Forlán ,28,Centre-Forward,Uruguay,€9.00m,Villarreal CF,LaLiga,Spain,€21.00m,2007,Atlético de Madrid,LaLiga,Spain,"1,80 m",NONE,Atlético Madrid,"                                    Aug 6, 2019                                ",53,53,1.85,23,4,0,4,13,1,0,0,3,186',4.286',                                    Montevideo                                ,"                                May 19, 1979                                                                    (43)                                                            "
Florent Malouda ,27,Left Winger,French Guiana,€20.00m,Olympique Lyon,Ligue 1,France,€19.00m,2007,Chelsea FC,Premier League,England,"1,77 m",NONE,Chelsea,"                                    Jul 1, 2018                                ",38,38,1.95,4,6,0,9,20,2,0,0,0,641',2.563',                                    Cayenne                                ,"                                Jun 13, 1980                                                                    (42)                                                            "
Gabriel Milito ,26,Centre-Back,Argentina,€20.00m,Real Zaragoza,LaLiga,Spain,€20.00m,2007,FC Barcelona,LaLiga,Spain,"1,79 m",NONE,Real Zaragoza,"                                    Jul 1, 2012                                ",45,42,1.79,1,0,0,1,3,7,1,0,0,3.568',3.568',                                    Bernal                                ,"                                Sep 7, 1980                                                                    (42)                                                            "
Simão ,27,Left Winger,Portugal,€15.00m,SL Benfica,Liga Portugal,Portugal,€20.00m,2007,Atlético de Madrid,LaLiga,Spain,"1,74 m",Gestifute ,Benfica,"                                    Jan 1, 2016                                ",43,41,1.90,9,7,0,11,24,3,0,0,0,277',2.490',                                    Vila Real                                ,"                                Oct 31, 1979                                                                    (43)                                                            "
Nicolas Anelka ,28,Centre-Forward,France,€20.00m,Bolton Wanderers,Premier League,England,€18.00m,2007,Chelsea FC,Premier League,England,"1,86 m",PROFUNDO Sports ... ,Chelsea,"                                    Jan 1, 2016                                ",48,46,1.61,13,10,0,12,4,1,0,0,0,252',3.271',                                    Le Chesnay                                ,"                                Mar 14, 1979                                                                    (44)                                                            "
David Beckham ,32,Right Midfield,England,€19.80m,Real Madrid,LaLiga,Spain,free transfer,2007,Los Angeles Galaxy,MLS,United States,"1,82 m",NONE,Man Utd,"                                    Jul 1, 2013                                ",28,27,1.19,6,9,0,0,3,7,0,0,0,391',2.344',                                    London                                ,"                                May 2, 1975                                                                    (47)                                                            "
